Date : 2021-11-21 11:47:39
Directory : c:\Source\anita\app\src
Total : 241 files,  7305 codes, 1693 comments, 1596 blanks, all 10594 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| app\libs\db-connector\plugins\indexed-db\query-makers                                                                                                   |          2 |        209 |         86 |         75 |        370 |
| app\libs\db-connector\plugins\mongo-db                                                                                                                  |          7 |        238 |        149 |         84 |        471 |
| app\libs\db-connector\plugins\mongo-db\db-deletor                                                                                                       |          1 |         25 |         19 |          8 |         52 |
| app\libs\db-connector\plugins\mongo-db\db-insertor                                                                                                      |          1 |         25 |         21 |         10 |         56 |
| app\libs\db-connector\plugins\mongo-db\db-selector                                                                                                      |          1 |         50 |         41 |         21 |        112 |
| app\libs\db-connector\plugins\mongo-db\db-store                                                                                                         |          1 |         44 |          0 |         16 |         60 |
| app\libs\db-connector\plugins\mongo-db\db-updator                                                                                                       |          1 |         48 |         41 |         15 |        104 |
| app\libs\db-connector\plugins\mongo-db\helpers                                                                                                          |          1 |         32 |         24 |         12 |         68 |
| app\libs\db-connector\plugins\mysql                                                                                                                     |          9 |        235 |        126 |         67 |        428 |
| app\libs\db-connector\plugins\mysql\db-deletor                                                                                                          |          1 |         22 |         14 |          7 |         43 |
| app\libs\db-connector\plugins\mysql\db-insertor                                                                                                         |          1 |         22 |         19 |          6 |         47 |
| app\libs\db-connector\plugins\mysql\db-selector                                                                                                         |          1 |         41 |         26 |         12 |         79 |
| app\libs\db-connector\plugins\mysql\db-store                                                                                                            |          1 |         26 |          3 |         11 |         40 |
| app\libs\db-connector\plugins\mysql\db-updator                                                                                                          |          1 |         22 |         19 |          6 |         47 |
| app\libs\db-connector\plugins\mysql\helpers                                                                                                             |          3 |         88 |         42 |         23 |        153 |
| app\libs\id-creator                                                                                                                                     |          1 |         15 |          9 |         11 |         35 |
| app\libs\logger                                                                                                                                         |          1 |         60 |         44 |         27 |        131 |
| app\libs\ng-rx                                                                                                                                          |          5 |         77 |         41 |         18 |        136 |
| app\libs\ng-rx\reducers                                                                                                                                 |          3 |         54 |         29 |         13 |         96 |
| app\libs\projects-helpers                                                                                                                               |          7 |        214 |        129 |         68 |        411 |
| app\libs\projects-helpers\file-handle-helpers                                                                                                           |          1 |         49 |         37 |         12 |         98 |
| app\libs\projects-helpers\project-handlers                                                                                                              |          4 |        105 |         50 |         36 |        191 |
| app\libs\projects-helpers\projects-handlers                                                                                                             |          1 |         18 |         15 |          7 |         40 |
| app\libs\projects-helpers\section-elements-handlers                                                                                                     |          1 |         42 |         27 |         13 |         82 |
| app\libs\tools                                                                                                                                          |          3 |         27 |         11 |         11 |         49 |
| app\ng-services                                                                                                                                         |          7 |        198 |         65 |         57 |        320 |
| app\ng-services\app-routing                                                                                                                             |          2 |         82 |         30 |         19 |        131 |
| app\ng-services\guard-services                                                                                                                          |          2 |         49 |          6 |         18 |         73 |
| app\ng-services\startupper                                                                                                                              |          1 |         43 |         18 |         11 |         72 |
| app\ng-services\state-data                                                                                                                              |          2 |         24 |         11 |          9 |         44 |
| app\ui                                                                                                                                                  |        138 |      3,748 |        232 |        769 |      4,749 |
| app\ui\app-component                                                                                                                                    |          5 |         54 |          0 |         11 |         65 |
| app\ui\routed-views                                                                                                                                     |         49 |      1,365 |        112 |        255 |      1,732 |
| app\ui\routed-views\project                                                                                                                             |         28 |        761 |         36 |        146 |        943 |
| app\ui\routed-views\project\components                                                                                                                  |         22 |        619 |         30 |        116 |        765 |
| app\ui\routed-views\project\components\element-value-viewer                                                                                             |          2 |         58 |          0 |          6 |         64 |
| app\ui\routed-views\project\components\no-elements                                                                                                      |          2 |         30 |          0 |          6 |         36 |
| app\ui\routed-views\project\components\parent-info-viewer-and-link                                                                                      |          2 |         40 |          0 |         11 |         51 |
| app\ui\routed-views\project\components\project-details                                                                                                  |          2 |         16 |          0 |          4 |         20 |
| app\ui\routed-views\project\components\project-info                                                                                                     |          2 |         30 |          0 |          5 |         35 |
| app\ui\routed-views\project\components\section-element-details                                                                                          |          3 |         77 |          5 |         14 |         96 |
| app\ui\routed-views\project\components\section-element-editor                                                                                           |          4 |        172 |          4 |         36 |        212 |
| app\ui\routed-views\project\components\section-elements-list                                                                                            |          5 |        196 |         21 |         34 |        251 |
| app\ui\routed-views\project\components\section-elements-list\elements-list                                                                              |          3 |        138 |         19 |         22 |        179 |
| app\ui\routed-views\project\helpers                                                                                                                     |          1 |         35 |          0 |          7 |         42 |
| app\ui\routed-views\project\pipes                                                                                                                       |          3 |         29 |          6 |         14 |         49 |
| app\ui\routed-views\projects                                                                                                                            |         21 |        604 |         76 |        109 |        789 |
| app\ui\routed-views\projects\components                                                                                                                 |         17 |        430 |         10 |         81 |        521 |
| app\ui\routed-views\projects\components\no-projects                                                                                                     |          2 |         48 |          0 |          9 |         57 |
| app\ui\routed-views\projects\components\project-editor                                                                                                  |          4 |        207 |         10 |         40 |        257 |
| app\ui\routed-views\projects\components\project-editor\section-editor                                                                                   |          2 |        106 |          6 |         24 |        136 |
| app\ui\routed-views\projects\components\projects-list                                                                                                   |         11 |        175 |          0 |         32 |        207 |
| app\ui\routed-views\projects\components\projects-list\components                                                                                        |          8 |        117 |          0 |         22 |        139 |
| app\ui\routed-views\projects\components\projects-list\components\project-card                                                                           |          3 |         37 |          0 |          7 |         44 |
| app\ui\routed-views\projects\components\projects-list\components\project-delete-confirm                                                                 |          2 |         31 |          0 |          7 |         38 |
| app\ui\routed-views\projects\components\projects-list\components\project-select-btn                                                                     |          3 |         49 |          0 |          8 |         57 |
| app\ui\routed-views\projects\services                                                                                                                   |          2 |        100 |         66 |         24 |        190 |
| app\ui\shared-components                                                                                                                                |         83 |      2,325 |        120 |        502 |      2,947 |
| app\ui\shared-components\add-btn                                                                                                                        |          4 |         51 |          0 |         11 |         62 |
| app\ui\shared-components\admin                                                                                                                          |         23 |        984 |         92 |        198 |      1,274 |
| app\ui\shared-components\admin\@core                                                                                                                    |          2 |         96 |          1 |         21 |        118 |
| app\ui\shared-components\admin\@theme                                                                                                                   |         16 |        752 |         91 |        140 |        983 |
| app\ui\shared-components\admin\@theme\components                                                                                                        |          3 |        138 |         79 |         30 |        247 |
| app\ui\shared-components\admin\@theme\components\header                                                                                                 |          3 |        138 |         79 |         30 |        247 |
| app\ui\shared-components\admin\@theme\layouts                                                                                                           |          3 |        209 |          2 |         49 |        260 |
| app\ui\shared-components\admin\@theme\pipes                                                                                                             |          5 |         50 |          0 |         16 |         66 |
| app\ui\shared-components\admin\@theme\styles                                                                                                            |          4 |        270 |         10 |         37 |        317 |
| app\ui\shared-components\admin\menu                                                                                                                     |          2 |         58 |          0 |         20 |         78 |
| app\ui\shared-components\alert                                                                                                                          |          3 |         37 |          0 |         11 |         48 |
| app\ui\shared-components\dialog-confirmer                                                                                                               |          3 |         42 |          0 |          7 |         49 |
| app\ui\shared-components\forms-automator                                                                                                                |         50 |      1,211 |         28 |        275 |      1,514 |
| app\ui\shared-components\forms-automator\form-builder                                                                                                   |         15 |        427 |          1 |        121 |        549 |
| app\ui\shared-components\forms-automator\form-builder\form-fields-loaders                                                                               |          2 |         53 |          1 |         18 |         72 |
| app\ui\shared-components\forms-automator\form-builder\form-type-switcher                                                                                |          2 |         19 |          0 |          6 |         25 |
| app\ui\shared-components\forms-automator\form-builder\group-forms                                                                                       |          2 |         26 |          0 |          7 |         33 |
| app\ui\shared-components\forms-automator\form-builder\services                                                                                          |          5 |        245 |          0 |         77 |        322 |
| app\ui\shared-components\forms-automator\form-builder\stepper-form                                                                                      |          2 |         43 |          0 |          9 |         52 |
| app\ui\shared-components\forms-automator\form-fields                                                                                                    |         35 |        784 |         27 |        154 |        965 |
| app\ui\shared-components\forms-automator\form-fields\basic-checkbox                                                                                     |          2 |         20 |          0 |          5 |         25 |
| app\ui\shared-components\forms-automator\form-fields\basic-input                                                                                        |          2 |         32 |          6 |          9 |         47 |
| app\ui\shared-components\forms-automator\form-fields\basic-radio                                                                                        |          2 |         36 |          0 |          8 |         44 |
| app\ui\shared-components\forms-automator\form-fields\basic-select                                                                                       |          3 |         45 |          6 |         10 |         61 |
| app\ui\shared-components\forms-automator\form-fields\basic-textarea                                                                                     |          2 |         23 |          0 |          5 |         28 |
| app\ui\shared-components\forms-automator\form-fields\child-of-selector-for-section                                                                      |          3 |         66 |          0 |         14 |         80 |
| app\ui\shared-components\forms-automator\form-fields\date-picker                                                                                        |          2 |         33 |          0 |          7 |         40 |
| app\ui\shared-components\forms-automator\form-fields\date-time-picker                                                                                   |          2 |         33 |          0 |          7 |         40 |
| app\ui\shared-components\forms-automator\form-fields\hidden-input                                                                                       |          2 |         17 |          0 |          5 |         22 |
| app\ui\shared-components\forms-automator\form-fields\options-maker                                                                                      |          4 |        115 |         13 |         20 |        148 |
| app\ui\shared-components\forms-automator\form-fields\parents-selector                                                                                   |          3 |         93 |          1 |         17 |        111 |
| app\ui\shared-components\forms-automator\form-fields\required-label                                                                                     |          2 |         14 |          0 |          5 |         19 |
| app\ui\shared-components\forms-automator\form-fields\services                                                                                           |          2 |         25 |          0 |         10 |         35 |
| assets                                                                                                                                                  |          6 |        555 |          0 |          2 |        557 |
| assets\icons                                                                                                                                            |          3 |         60 |          0 |          2 |         62 |
| assets\icons\favicon                                                                                                                                    |          3 |         60 |          0 |          2 |         62 |
| assets\logo                                                                                                                                             |          2 |         22 |          0 |          0 |         22 |
| environments                                                                                                                                            |          2 |          6 |         10 |          4 |         20 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Source\anita\app\src\app\app.module.ts                                                                                                               | TypeScript      |         45 |          0 |          2 |         47 |
| c:\Source\anita\app\src\app\data\auds-system-sections.enum.ts                                                                                           | TypeScript      |          7 |          6 |          3 |         16 |
| c:\Source\anita\app\src\app\data\client-sections.enum.ts                                                                                                | TypeScript      |         10 |         14 |          4 |         28 |
| c:\Source\anita\app\src\app\data\data-structure-extender.class.ts                                                                                       | TypeScript      |         38 |         24 |         11 |         73 |
| c:\Source\anita\app\src\app\data\db-instances.const.ts                                                                                                  | TypeScript      |         11 |          0 |          3 |         14 |
| c:\Source\anita\app\src\app\data\form-models\projects.constant.ts                                                                                       | TypeScript      |         33 |          4 |          2 |         39 |
| c:\Source\anita\app\src\app\data\form-models\section-builder.constant.ts                                                                                | TypeScript      |        114 |         16 |          5 |        135 |
| c:\Source\anita\app\src\app\data\form-models\system-fields-for-sections.constant.ts                                                                     | TypeScript      |         20 |          9 |          3 |         32 |
| c:\Source\anita\app\src\app\data\model\form-model-commons.ts                                                                                            | TypeScript      |         81 |         30 |          9 |        120 |
| c:\Source\anita\app\src\app\data\model\project-info.ts                                                                                                  | TypeScript      |         58 |         42 |         12 |        112 |
| c:\Source\anita\app\src\app\data\sections\auds-sections.const.ts                                                                                        | TypeScript      |          7 |          4 |          2 |         13 |
| c:\Source\anita\app\src\app\data\sections\auds-settings.const.ts                                                                                        | TypeScript      |          7 |          4 |          2 |         13 |
| c:\Source\anita\app\src\app\data\sections\local-settings.const.ts                                                                                       | TypeScript      |         17 |         20 |          6 |         43 |
| c:\Source\anita\app\src\app\data\sections\projects.const.ts                                                                                             | TypeScript      |         12 |          4 |          2 |         18 |
| c:\Source\anita\app\src\app\libs\db-connector\constants\ds.constant.ts                                                                                  | TypeScript      |          4 |          3 |          2 |          9 |
| c:\Source\anita\app\src\app\libs\db-connector\crypter\crypt-helper.class.ts                                                                             | TypeScript      |         49 |         36 |         17 |        102 |
| c:\Source\anita\app\src\app\libs\db-connector\crypter\decrypter.class.ts                                                                                | TypeScript      |         26 |         17 |          8 |         51 |
| c:\Source\anita\app\src\app\libs\db-connector\crypter\encrypter.class.ts                                                                                | TypeScript      |         26 |         17 |          8 |         51 |
| c:\Source\anita\app\src\app\libs\db-connector\crypter\options.constant.ts                                                                               | TypeScript      |          1 |          3 |          1 |          5 |
| c:\Source\anita\app\src\app\libs\db-connector\crypter\string-crypter.function.ts                                                                        | TypeScript      |          5 |          7 |          2 |         14 |
| c:\Source\anita\app\src\app\libs\db-connector\crypter\string-decrypter.function.ts                                                                      | TypeScript      |          5 |          7 |          2 |         14 |
| c:\Source\anita\app\src\app\libs\db-connector\db-builder\data-structure-builder.class.ts                                                                | TypeScript      |         30 |         19 |          8 |         57 |
| c:\Source\anita\app\src\app\libs\db-connector\db-builder\default-values.constant.ts                                                                     | TypeScript      |          4 |          9 |          4 |         17 |
| c:\Source\anita\app\src\app\libs\db-connector\db-builder\sez-builder.class.ts                                                                           | TypeScript      |        101 |         64 |         21 |        186 |
| c:\Source\anita\app\src\app\libs\db-connector\db-builder\sez-definition.ts                                                                              | TypeScript      |         19 |          9 |          3 |         31 |
| c:\Source\anita\app\src\app\libs\db-connector\db-connector.class.ts                                                                                     | TypeScript      |         47 |         32 |         14 |         93 |
| c:\Source\anita\app\src\app\libs\db-connector\models\executers.d.ts                                                                                     | TypeScript      |        101 |         36 |         18 |        155 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-deletor\db-deletor.class.ts                                                       | TypeScript      |         17 |         12 |          8 |         37 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-insertor\db-insertor.class.ts                                                     | TypeScript      |         22 |         17 |          7 |         46 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-selector\db-selector.class.ts                                                     | TypeScript      |         45 |         26 |         13 |         84 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-store\dbstore.class.ts                                                            | TypeScript      |         42 |         21 |         16 |         79 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-updator\db-updator.class.ts                                                       | TypeScript      |         22 |         17 |          7 |         46 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\exporter.constant.ts                                                                 | TypeScript      |         14 |          3 |          2 |         19 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\element-adder-to-collection.class.ts                                         | TypeScript      |         30 |         17 |          9 |         56 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\file-handle-checker.function.ts                                              | TypeScript      |          9 |          3 |          4 |         16 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\file-system-access-api.d.ts                                                  | TypeScript      |         76 |          1 |         19 |         96 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\fs-helper.ts                                                                 | TypeScript      |         54 |         31 |          9 |         94 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\project-file-handle-saver.class.ts                                           | TypeScript      |         25 |         24 |          8 |         57 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-deletor\child-deletor.class.ts                                                      | TypeScript      |         33 |         25 |          9 |         67 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-deletor\db-deletor.class.ts                                                         | TypeScript      |         22 |         11 |          5 |         38 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-insertor\db-insertor.class.ts                                                       | TypeScript      |         17 |         11 |          5 |         33 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-selector\db-selector.class.ts                                                       | TypeScript      |         44 |         33 |         15 |         92 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-store\dbstore.class.ts                                                              | TypeScript      |         42 |          4 |         19 |         65 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-updator\db-updator.class.ts                                                         | TypeScript      |         17 |         11 |          5 |         33 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\exporter.constant.ts                                                                   | TypeScript      |         14 |          3 |          2 |         19 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\query-makers\query-helper.class.ts                                                     | TypeScript      |         96 |         23 |         29 |        148 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\query-makers\query-maker.class.ts                                                      | TypeScript      |        113 |         63 |         46 |        222 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-deletor\db-deletor.class.ts                                                           | TypeScript      |         25 |         19 |          8 |         52 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-insertor\db-insertor.class.ts                                                         | TypeScript      |         25 |         21 |         10 |         56 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-selector\db-selector.class.ts                                                         | TypeScript      |         50 |         41 |         21 |        112 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-store\dbstore.class.ts                                                                | TypeScript      |         44 |          0 |         16 |         60 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-updator\db-updator.class.ts                                                           | TypeScript      |         48 |         41 |         15 |        104 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\exporter.constant.ts                                                                     | TypeScript      |         14 |          3 |          2 |         19 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\helpers\connection-string-maker.class.ts                                                 | TypeScript      |         32 |         24 |         12 |         68 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-deletor\db-deletor.class.ts                                                              | TypeScript      |         22 |         14 |          7 |         43 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-insertor\db-insertor.class.ts                                                            | TypeScript      |         22 |         19 |          6 |         47 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-selector\db-selector.class.ts                                                            | TypeScript      |         41 |         26 |         12 |         79 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-store\dbstore.class.ts                                                                   | TypeScript      |         26 |          3 |         11 |         40 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-updator\db-updator.class.ts                                                              | TypeScript      |         22 |         19 |          6 |         47 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\exporter.constant.ts                                                                        | TypeScript      |         14 |          3 |          2 |         19 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\helpers\execute-query.function.ts                                                           | TypeScript      |         10 |          3 |          2 |         15 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\helpers\query-maker.class.ts                                                                | TypeScript      |         54 |         23 |         13 |         90 |
| c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\helpers\where-builder.class.ts                                                              | TypeScript      |         24 |         16 |          8 |         48 |
| c:\Source\anita\app\src\app\libs\id-creator\id-creator.class.ts                                                                                         | TypeScript      |         15 |          9 |         11 |         35 |
| c:\Source\anita\app\src\app\libs\logger\logger.class.ts                                                                                                 | TypeScript      |         60 |         44 |         27 |        131 |
| c:\Source\anita\app\src\app\libs\ng-rx\ngrx-actions.const.ts                                                                                            | TypeScript      |          9 |          6 |          2 |         17 |
| c:\Source\anita\app\src\app\libs\ng-rx\reducers.const.ts                                                                                                | TypeScript      |         14 |          6 |          3 |         23 |
| c:\Source\anita\app\src\app\libs\ng-rx\reducers\project.reducer.ts                                                                                      | TypeScript      |         12 |          9 |          4 |         25 |
| c:\Source\anita\app\src\app\libs\ng-rx\reducers\projects.reducer.ts                                                                                     | TypeScript      |         18 |          9 |          4 |         31 |
| c:\Source\anita\app\src\app\libs\ng-rx\reducers\sections-for-child-of-selector.reducer.ts                                                               | TypeScript      |         24 |         11 |          5 |         40 |
| c:\Source\anita\app\src\app\libs\projects-helpers\file-handle-helpers\project-file-importer.class.ts                                                    | TypeScript      |         49 |         37 |         12 |         98 |
| c:\Source\anita\app\src\app\libs\projects-helpers\project-handlers\current-project-setter.class.ts                                                      | TypeScript      |         13 |         10 |          5 |         28 |
| c:\Source\anita\app\src\app\libs\projects-helpers\project-handlers\project-deletor.class.ts                                                             | TypeScript      |         19 |         16 |          7 |         42 |
| c:\Source\anita\app\src\app\libs\projects-helpers\project-handlers\project-saver.class.ts                                                               | TypeScript      |         46 |          0 |         15 |         61 |
| c:\Source\anita\app\src\app\libs\projects-helpers\project-handlers\save-project-settings-in-indexeddb.class.ts                                          | TypeScript      |         27 |         24 |          9 |         60 |
| c:\Source\anita\app\src\app\libs\projects-helpers\projects-handlers\projects-list-loader.class.ts                                                       | TypeScript      |         18 |         15 |          7 |         40 |
| c:\Source\anita\app\src\app\libs\projects-helpers\section-elements-handlers\element-saver.class.ts                                                      | TypeScript      |         42 |         27 |         13 |         82 |
| c:\Source\anita\app\src\app\libs\tools\find-first-user-defined-field.function.ts                                                                        | TypeScript      |         12 |          0 |          6 |         18 |
| c:\Source\anita\app\src\app\libs\tools\find-section-by-id.function.ts                                                                                   | TypeScript      |          4 |          0 |          2 |          6 |
| c:\Source\anita\app\src\app\libs\tools\tools.ts                                                                                                         | TypeScript      |         11 |         11 |          3 |         25 |
| c:\Source\anita\app\src\app\ng-services\app-routing\current-route.constant.ts                                                                           | TypeScript      |         35 |          6 |          8 |         49 |
| c:\Source\anita\app\src\app\ng-services\app-routing\route-listener.service.ts                                                                           | TypeScript      |         47 |         24 |         11 |         82 |
| c:\Source\anita\app\src\app\ng-services\guard-services\project-guard.service.ts                                                                         | TypeScript      |         22 |          3 |          9 |         34 |
| c:\Source\anita\app\src\app\ng-services\guard-services\projects-guard.service.ts                                                                        | TypeScript      |         27 |          3 |          9 |         39 |
| c:\Source\anita\app\src\app\ng-services\startupper\startupper.service.ts                                                                                | TypeScript      |         43 |         18 |         11 |         72 |
| c:\Source\anita\app\src\app\ng-services\state-data\state-data.constant.ts                                                                               | TypeScript      |          9 |          5 |          4 |         18 |
| c:\Source\anita\app\src\app\ng-services\state-data\state-data.service.ts                                                                                | TypeScript      |         15 |          6 |          5 |         26 |
| c:\Source\anita\app\src\app\ui\app-component\app-component.module.ts                                                                                    | TypeScript      |         15 |          0 |          2 |         17 |
| c:\Source\anita\app\src\app\ui\app-component\app.component.html                                                                                         | Django Template |          5 |          0 |          0 |          5 |
| c:\Source\anita\app\src\app\ui\app-component\app.component.scss                                                                                         | SCSS            |         18 |          0 |          1 |         19 |
| c:\Source\anita\app\src\app\ui\app-component\app.component.ts                                                                                           | TypeScript      |          8 |          0 |          2 |         10 |
| c:\Source\anita\app\src\app\ui\app-component\routes.contant.ts                                                                                          | TypeScript      |          8 |          0 |          6 |         14 |
| c:\Source\anita\app\src\app\ui\editor-mode.enum.ts                                                                                                      | TypeScript      |          4 |          0 |          1 |          5 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\element-value-viewer\element-value-viewer.component.html                                 | Django Template |         24 |          0 |          0 |         24 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\element-value-viewer\element-value-viewer.component.ts                                   | TypeScript      |         34 |          0 |          6 |         40 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\no-elements\no-elements.component.html                                                   | Django Template |         10 |          0 |          0 |         10 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\no-elements\no-elements.component.ts                                                     | TypeScript      |         20 |          0 |          6 |         26 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\parent-info-viewer-and-link\parent-info-viewer-and-link.component.html                   | Django Template |          4 |          0 |          0 |          4 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\parent-info-viewer-and-link\parent-info-viewer-and-link.component.ts                     | TypeScript      |         36 |          0 |         11 |         47 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\project-details\project-details.component.html                                           | Django Template |          6 |          0 |          0 |          6 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\project-details\project-details.component.ts                                             | TypeScript      |         10 |          0 |          4 |         14 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\project-info\project-info.component.html                                                 | Django Template |         13 |          0 |          0 |         13 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\project-info\project-info.component.ts                                                   | TypeScript      |         17 |          0 |          5 |         22 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\section-element-details\section-element-details.component.html                           | Django Template |         20 |          0 |          0 |         20 |
| c:\Source\anita\app\src\app\ui\routed-views\project\components\section-element-details\section-element-details.component.scss                           | SCSS            |          3 |          0 |          0 |          3 |
